Name,Industry,Sector,Headquarters,Founded,Notes,"Status (P=Private, S=State; A=Active, D=Defunct)"
Fraport,Industrials,Transportation services,Frankfurt,1924,Airports,P | A
Freenet.de,Telecommunications,Fixed line telecommunications,Büdelsdorf,2007,Telecommunications,P | A
Fresenius,Health care,Health care providers,Bad Homburg vor der Höhe,1912,Health care,P | A
Fresenius Medical Care,Health care,Health care providers,Bad Homburg vor der Höhe,1996,Part of Fresenius,P | A
Freudenberg Group,Conglomerates,-,Weinheim,1849,"Consumer goods, telecommunications, industrials",P | A
FRoSTA,Consumer goods,Food products,Bremerhaven,1905,"Frozen foods, foodservice, commercial catering",P | A
Fuchs Petrolub,Basic materials,Speciality chemicals,Mannheim,1931,Lubricants,P | A
Gardena,Consumer goods,Durable household products,Ulm,1961,Garden tools,P | A
GEA Group,Industrials,Industrial machinery,Düsseldorf,1881,Machinery and technology for refrigeration and livestock farming,P | A
Gebrüder Thonet,Consumer goods,Furnishings,Frankenberg,1853,Furniture manufacturer,P | D
Germanwings,Consumer services,Airlines,Cologne,2002,Part of Lufthansa,P | A
Gerolsteiner Brunnen,Consumer goods,Beverages,Gerolstein,1888,Mineral water,P | A
Gerresheimer,Industrials,Containers & packaging,Düsseldorf,1864,Packaging products,P | A
Getrag,Industrials,Industrial suppliers,Untergruppenbach,1935,Automotive parts,P | A
GfK,Industrials,Business support services,Nuremberg,1934,Market research,P | A
GPC Biotech,Health care,Biotechnology,Martinsried,1997,Biotechnology,P | A
Grundig,Consumer goods,Consumer electronics,Nuremberg,1930,"Electronics, part of Koç Holding (Turkey)",P | A
Gruner + Jahr,Consumer services,Publishing,Hamburg,1965,"Publishing house, part of Bertelsmann",P | A
Grünenthal,Health care,Pharmaceuticals,Stolberg,1946,Pharmaceuticals,P | A
Hama Photo,Consumer goods,Consumer electronics,Monheim,1923,Electronics,P | A
Hamburg Süd,Industrials,Marine transportation,Hamburg,1871,Shipping,P | A
Hamburger Flugzeugbau,Industrials,Aerospace,Hamburg,1933,"Aircraft manufacturer, defunct 1969",P | D
Hannover Re,Financials,Reinsurance,Hanover,1966,"Reinsurance firm, part of Talanx",P | A
Hapag-Lloyd,Industrials,Marine transportation,Hamburg,1970,Shipping,P | A
Haribo,Consumer goods,Food products,Bonn,1920,Confectionery,P | A
Heckler & Koch,Industrials,Defense,Oberndorf am Neckar,1948,Arms,P | A
HeidelbergCement,Industrials,Building materials & fixtures,Heidelberg,1874,Building materials,P | A
Heidelberger Druckmaschinen,Industrials,Industrial machinery,Heidelberg,1850,Printing machines,P | A
Heinkel,Industrials,Aerospace,Warnemünde,1922,"Aircraft manufacturer, defunct 1965",P | D
Hella,Industrials,Industrial suppliers,Lippstadt,1899,Automotive parts,P | A
Henkel,Conglomerates,-,Düsseldorf,1876,"Consumer goods, industrial goods",P | A
Heraeus,Industrials,Industrial machinery,Hanau,1851,Engineering,P | A
Herrenknecht,Industrials,Industrial machinery,Schwanau,1975,Tunnel boring machines,P | A
Hochtief,Industrials,Heavy construction,Essen,1874,"Construction, owned by  ACS Group",P | A
Hoechst,Basic materials,Specialty chemicals,Frankfurt,1863,"Chemicals, defunct 2004",P | D
Hoesch,Mining,,Dortmund,1871,"Mining, steel, defunct 1991",P | D
Horch,Consumer goods,Automobiles,Köln-Ehrenfeld Cologne,1899,"Defunct 1945, now part of Audi",P | D
Horváth & Partners,Industrials,Business support services,Stuttgart,1981,Management consulting,P | A
Howaldtswerke-Deutsche Werft,Industrials,Commercial vehicles & trucks,Kiel,1838,Shipbuilding,P | A
Hubert Burda Media,Consumer services,Publishing,Offenburg,1903,Publishing and mass media,P | A
Hugo Boss,Consumer goods,Clothing & accessories,Metzingen,1924,Luxury fashion,P | A
HypoVereinsbank,Financials,Financial services,Munich,1998,"Finance and insurance, part of UniCredit (Italy)",P | A
Hypo Real Estate,Financials,Real estate,Munich,2003,Nationalized holding company,S | A
IAV,Industrials,Industrial suppliers,Berlin,1983,Automotive supplier,P | A
IG Farben,Basic materials,Commodity chemicals,Frankfurt,1925,Defunct 2012,P | D
Infineon Technologies,Technology,Semiconductors,Neubiberg,1999,Semiconductor manufacturer,P | A
Intershop,Consumer services,Specialty retailers,Berlin,1962,Defunct 1990,P | D
J. A. Henckels,Consumer goods,Durable household products,Solingen,1731,Kitchenware,P | A
J. Schmalz,Industrials,Industrial machinery,Glatten,1910,Vacuum technology,P | A
Jack Wolfskin,Consumer goods,Recreational products,Idstein,1981,Camping and outdoor,P | A
Jenoptik,Industrials,Industrial machinery,Jena,1991,Optoelectronics engineering,P | A
Jil Sander,Consumer goods,Clothing & accessories,Hamburg,1968,Fashion,P | A
Junghans,Consumer goods,Clothing & accessories,Schramberg,1861,Watches,P | A
Junkers,Industrials,Aerospace,Dessau,1895,"Aircraft manufacturer, defunct 1969",P | D
K+S,Basic materials,Speciality chemicals,Kassel,1889,Fertilisers,P | A
Kärcher,Industrials,Waste & disposal services,Winnenden,1935,Cleaning equipment,P | A
Katjes International,Market,Food retailers,Emmerich am Rhein,1972,"Sugar confectionery Market, part of Katjes Group",P | A
Kaufland,Consumer services,Food retailers & wholesalers,Neckarsulm,1985,"Hypermarket, part of Schwarz Gruppe",P | A
Keimfarben,Basic materials,Speciality chemicals,Diedorf,1878,Paints,P | A
KfW,Financials,Banks,Frankfurt,1906,Financial services,P | A
Klöckner & Co,Industrials,Industrial machinery,Duisburg,1906,Metal distribution,P | A
Knorr,Consumer goods,Food products,Heilbronn,1838,"Food brand, part of Unilever (UK/Netherlands)",P | A
Knorr-Bremse,Industrials,Industrial suppliers,Munich,1905,Braking systems,P | A
Koenig & Bauer,Industrials,Industrial machinery,Würzburg,1817,Printing machines,P | A
Körber,Industrials,Industrial machinery,Hamburg,1995,Mechanical engineering,P | A
Krauss-Maffei,Industrials,Industrial machinery,Munich,1931,"Mechanical engineering, part of ChemChina (China)",P | A
Krombacher Brauerei,Consumer goods,Brewers,Kreuztal,1803,Brewery,P | A
Krones,Industrials,Industrial machinery,Neutraubling,1951,Mechanical engineering,P | A
KSB Company,Industrials,Industrial machinery,Frankenthal,1871,Mechanical engineering,P | A
KUKA,Industrials,Industrial machinery,Augsburg,1898,Automation,P | A
Lamy,Consumer goods,Nondurable household products,Heidelberg,1930,Writing instruments,P | A
Lanxess,Basic materials,Speciality chemicals,Cologne,2004,Chemicals,P | A
Leica Camera,Consumer goods,Recreational products,Wetzlar,1914,Optical imaging,P | A
Leidolf,Consumer goods,Recreational products,Wetzlar,1921,"Cameras, defunct 1962",P | D
Leoni,Industrials,Electrical components & equipment,Nuremberg,1917,Cable and harnessing manufacturing,P | A
Lidl,Consumer services,Food retailers & wholesalers,Neckarsulm,1930,Part of Schwarz Gruppe,P | A
Lindauer Dornier,Consumer goods,Clothing & accessories,Lindau,1985,Textile machinery,P | A
Linguatec,Technology,Software,Pasing,1996,Machine translation,P | A
Linhof,Consumer goods,Recreational products,Munich,1887,Camera manufacturer,P | A
Loesche,Manufacturing,Mining,Düsseldorf,1906,"Vertical roller mills for grinding coal, industrial minerals and ores.",P | A
Loewe,Consumer goods,Consumer electronics,Kronach,1923,,P | A
Löwenbräu,Consumer goods,Brewers,Munich,1383,"Brewery, part of Anheuser-Busch InBev (Belgium)",P | A
LSG Sky Chefs,Industrials,Transportation services,Neu-Isenburg,1942,"Airline catering, part of Lufthansa",P | A
LTU International,Consumer services,Airlines,Düsseldorf,1955,"Leisure airline, defunct 2009",P | D
Lufthansa Group,Consumer services,Airlines,Cologne,1955,Largest German airline,P | A
Lürssen,Industrials,Commercial vehicles & trucks,Bremen-Vegesack,1875,Shipyard,P | A
Magirus,Industrials,Commercial vehicles & trucks,Ulm,1866,Trucks and industrial vehicles,P | A
Magix,Technology,Software,Berlin,1994,"Software publisher, part of Bellevue Investments",P | A
Mahle GmbH,Industrials,Industrial suppliers,Stuttgart,1920,Automotive parts,P | A
MAN,Industrials,Commercial Vehicles & Trucks,Munich,1758,"Automotive, mechanical engineering, part of Volkswagen Group",P | A
Mannesmann,Industrials,Diversified industrials,Düsseldorf,1890,"Now part of Vodafone, ThyssenKrupp, Siemens, Salzgitter",P | D
Mast-Jägermeister,Consumer goods,Distillers & vintners,Wolfenbüttel,1878,Alcohol,P | A
Meindl,Consumer goods,Clothing & accessories,Kirchanschöring,1683,Shoes manufacturer,P | A
Meinl Percussion,Consumer goods,Recreational products,Gutenstetten,1951,Musical instruments,P | A
Meinl-Weston,Consumer goods,Recreational products,Geretsried,1810,Musical instruments,P | A
Meissen porcelain,Consumer goods,Durable household products,Meissen,1708,Porcelain,P | A
Melitta,Consumer goods,Beverages,Minden,1908,Coffee,P | A
Mennekes,Industrials,Electrical components & equipment,Kirchhundem,1935,Industrial plugs and connectors,P | A
Mercedes-AMG,Consumer goods,Automobiles,Affalterbach,1967,"Automobile and engine manufacturing, part of Mercedes-Benz Group",P | A
Mercedes-Benz,Consumer goods,Automobiles,Stuttgart,1883,"Automotive, part of Mercedes-Benz Group",P | A
Merck,Health care,Pharmaceuticals,Darmstadt,1668,Pharmaceuticals,P | A
Messerschmitt,Industrials,Aerospace,Augsburg,1938,"Aircraft manufacturer, defunct 1968",P | D
Metro,Consumer services,Broadline retailers,Düsseldorf,1964,Diversified retailer,P | A
Metz,Consumer goods,Consumer electronics,Zirndorf,1938,"Electronics manufacturer, defunct 2014",P | D
Meyer Werft,Industrials,Commercial vehicles & trucks,Papenburg,1795,Shipbuilding,P | A
Miele,Consumer goods,Consumer electronics,Gütersloh,1899,Domestic appliances,P | A
Montblanc,Consumer goods,Nondurable household products,Hamburg,1906,Luxury goods,P | A
Munich Re,Financials,Reinsurance,Munich,1880,Reinsurance,P | A
Müller,Consumer goods,Food products,Fischach,1896,Dairy,P | A
Nemetschek,Technology,Software,Munich,1963,Software,P | A
Nero,Technology,Software,Karlsruhe,1995,Software,P | A
Netto Marken-Discount,Consumer services,Food retailers & wholesalers,Maxhütte-Haidhof,1984,"Supermarkets, part of Edeka",P | A
Nordzucker,Consumer goods,Food products,Braunschweig,1997,Sugar,P | A
NSU Motorenwerke,Consumer goods,Automobiles,Neckarsulm,1873,"Now part of Audi, defunct",P | D
Opel,Consumer goods,Automobiles,Rüsselsheim am Main,1862,"Automotive, part of Groupe PSA (France)",P | A
Orenstein & Koppel,Industrials,Industrial vehicles & trucks,Berlin,1876,Defunct 1999,P | D
Osram,Industrials,Building materials & fixtures,Munich,1919,Lighting,P | A
Otto GmbH,Consumer services,Broadline retailers,Hamburg,1949,Mail order company,P | A
Otto Bock,Health care,Medical equipment,Duderstadt,1919,"Wheel chairs, prosthetics",P | A
Paulaner Brewery,Consumer goods,Brewers,Munich,1634,"Brewery, part of Brau Holding International",P | A
PCC,Basic materials,Speciality chemicals,Duisburg,1993,"Chemicals, energy, logistics",P | A
Penny,Consumer services,Food retailers & wholesalers,Cologne,1973,"Supermarkets, part of REWE Group",P | A
Philipp Holzmann,Industrials,Heavy construction,Frankfurt,1849,Defunct 2002,P | D
Phoenix Contact,Industrials,Industrial machinery,Blomberg,1923,Automation,P | A
Plus,Consumer services,Food retailers & wholesalers,Mülheim,1972,"Part of Edeka, defunct 2009",P | D
Porsche,Consumer goods,Automobiles,Stuttgart,1931,"High performance vehicles, part of Volkswagen Group",P | A
ProSiebenSat.1,Consumer services,Broadcasting & entertainment,Unterföhring,2000,Mass media,P | A
PTV Group,Technology,Software,Karlsruhe,1979,Software design and consulting,P | A
PUMA,Consumer goods,Clothing & accessories,Herzogenaurach,1948,Shoes & sports apparel & accessories manufacturer,P | A
Putzmeister,Industrials,Industrial machinery,Aichtal,1958,Concrete pumps,P | A
Radeberger Brewery,Consumer goods,Brewers,Radeberg,1872,"Brewery, part of Dr. Oetker",P | A
Recaro,Industrials,Industrial suppliers,Stuttgart,1906,Vehicle seating,P | A
Reemtsma,Consumer goods,Tobacco,Hamburg,1910,Tobacco and cigarette,P | A
Rehau Group,Industrials,Industrial suppliers,Rehau,1948,Polymer-based products supplier,P | A
REWE Group,Consumer services,Food retailers & wholesalers,Cologne,1927,"Supermarkets, retail",P | A
Rheinmetall,Industrials,Defense,Düsseldorf,1889,Defense and automotive,P | A
Rimowa,Consumer goods,Luggage,Cologne,1898,"Luggage and travel accessories, acquired by LVMH in 2016",P | A
Ritter Sport,Consumer goods,Food products,Waldenbuch,1912,Chocolates,P | A
Robert Bosch GmbH,Conglomerate,-,Waldenbuch,1886,"Automotive parts, home appliances, engineering, computing",P | A
Rohde & Schwarz,Industrials,Electronic equipment,Munich,1933,Electronics,P | A
ROSE Bikes,Consumer goods,Recreational products,Bocholt,1907,Bicycles,P | A
RRI Rhein Ruhr International,Industrials,Industrial machinery,Essen,1942,Engineering,P | A
RUF Automobile,Consumer goods,Automobiles,Pfaffenhausen,1939,Automotive,P | A
RWE,Utilities,Electricity,Essen,1898,Electric generation and distribution,P | A
SABA,Consumer goods,Consumer electronics,Triberg im Schwarzwald,1923,"Radios, defunct 1980",P | D
Salzgitter,Basic materials,Iron & steel,Salzgitter,1937,Steel producer,P | A
SAP,Technology,Software,Walldorf,1972,Enterprise software,P | A
Ströer,mass media,billboard,Cologne,1990,online advertising,P | A
Schaeffler Group,Industrials,Industrial suppliers,Herzogenaurach,1883,Automotive parts,P | A
Schaller Guitarenparts,Consumer goods,Recreational products,Postbauer-Heng,1945,Musical instruments,P | A
Schering,Health care,Pharmaceuticals,Berlin,1851,"Defunct 2006, now part of Bayer",P | D
Schmitz Cargobull,Industrials,Commercial Vehicles & Trucks,Horstmar,1892,Trailers and truck bodies,P | A
Schott,Basic materials,Speciality chemicals,Mainz,1884,"Industrial glass, part of Carl-Zeiss-Stiftung",P | A
Schwan-Stabilo,Consumer goods,Nondurable household products,Heroldsberg,1855,Writing instruments,P | A
Schwarz Gruppe,Consumer services,Food retailers & wholesalers,Neckarsulm,1973,Supermarket holding company,P | A
Schwind eye-tech-solutions,Health care,Medical equipment,Kleinostheim,1958,Medical technology,P | A
Sebamed,Consumer goods,Personal products,Boppard,1957,Skin care products,P | A
Seca,Health care,Medical equipment,Hamburg,1840,Medical scales and measuring instruments,P | A
Sennheiser,Consumer goods,Consumer electronics,Wedemark,1945,Audio electronics,P | A
Severin Elektro,Consumer goods,Consumer electronics,Sundern,1892,Household appliances,P | A
SEW Eurodrive,Industrials,General industrials,Bruchsal,1931,Electric motors,P | A
Signal Iduna,Financials,Full line insurance,Dortmund/Hamburg,1907,Insurance,P | A
SGL Carbon,Basic materials,Chemicals,Wiesbaden,1992,Chemicals,P | A
Siemens,Conglomerates,-,Berlin,1847,"Industrials, energy, health care",P | A
SIG Sauer,Industrials,Defense,Eckernförde,1976,Firearms,P | A
SimScale,Technology,Software,Munich[4],2012,Engineering simulation software,P | A
SkySails,Industrials,Industrial machinery,Hamburg,2001,Marine propulsion by wind energy,P | A
Smart,Consumer goods,Automobiles,Böblingen,1994,"Automotive, part of Mercedes-Benz Group",P | A
Software,Technology,Software,Darmstadt,1969,Enterprise software,P | A
SolarWorld,Industrials,Industrial machinery,Bonn,1988,Photovoltaics,P | A
Sonor,Consumer goods,Recreational products,Berlin,1875,Musical instruments,P | A
Sortimo,Industrials,Industrial suppliers,Zusmarshausen,1973,In-vehicle equipment,P | A
Staedtler,Consumer goods,Nondurable household products,Nuremberg,1835,Writing instruments,P | A
Steinway & Sons,Consumer goods,Recreational products,Hamburg,1853,Musical instruments,P | A
Stihl,Basic materials,Forestry,Waiblingen,1926,"Forestry equipment, garden tools",P | A
Südzucker,Consumer goods,Food products,Mannheim,1926,Sugar,P | A
Symrise,Personal products,"Flavours, gustatory and cosmetic substances",Holzminden,2003,"Flavours, gustatory and cosmetic substances",P | A
Talanx,Financials,Full line insurance,Hanover,1996,Commercial insurance,P | A
Tchibo,Consumer services,Broadline retailers,Hamburg,1949,"Consumer goods, retail",P | A
Telefunken,Consumer goods,Consumer electronics,Berlin,1903,Defunct 1967,P | D
Tengelmann Group,Consumer services,Broadline retailers,Mülheim,1867,Retail holding company,P | A
Tente International,Industrials,General industrials,Cologne,1923,Wheels and castors,P | A
Tetra,Consumer services,Specialty retailers,Melle,1951,Fishkeeping supplies,P | A
The Linde Group,Basic materials,Speciality chemicals,Munich,1879,Industrial gas production and plant engineering,P | A
ThyssenKrupp,Conglomerates,-,Duisburg,1999,"Steel, engineering, shipyards",P | A
trivago,Technology,Internet,Düsseldorf,2005,"Hotel and travel search, part of Expedia, Inc. (US)",P | A
Trumpf,Industrials,Industrial machinery,Ditzingen,1923,Machine tools,P | A
T-Systems,Technology,Software,Frankfurt,2000,Part of Deutsche Telekom,P | A
TUI Group,Consumer services,Travel & leisure,Hanover,1923,"Hospitality, tourism",P | A
Uhlsport,Consumer goods,Clothing & accessories,Balingen,1948,Shoes & sports apparel & accessories manufacturer,P | A
Ulla Popken,Consumer goods,Clothing & accessories,Rastede,1880,Clothing,P | A
Ultrasone,Consumer goods,Consumer electronics,Tutzing,1991,Audio electronics,P | A
Underberg,Consumer goods,Brewers,Rheinberg,1846,Bitters,P | A
United Internet,Telecommunications,Fixed line telecommunications,Montabaur,1988,ISP,P | A
Vaude,Consumer goods,Recreational products,Tettnang,1974,"Clothing, mountain sports equipment",P | A
Vector Informatik,Technology,Software,Stuttgart,1988,Software,P | A
Veltins,Consumer goods,Brewers,Meschede,1824,Brewery,P | A
Vereinigte Flugtechnische Werke,Industrials,Aerospace,Bremen,1964,Defunct 1981,P | D
Viessmann,Industrials,General industrials,Allendorf (Eder),1917,Heating systems,P | A
Villeroy & Boch,Consumer goods,Durable household products,Mettlach,1748,Ceramics,P | A
Voith,Industrials,Industrial engineering,Heidenheim an der Brenz,1867,Mechanical engineering,P | A
Volkswagen Group,Consumer goods,Automobiles,Wolfsburg,1937,Automotive,P | A
Vonovia,Financials,Real estate,Bochum,2001,Real estate,P | A
Vossloh,Industrials,Industrial transportation,Werdohl,1888,Railway systems engineering,P | A
